USERNAME,REPO_NAME,STARS,REPO_LINK
mrdoob,three.js,102000,https://github.com/mrdoob/three.js
pmndrs,react-three-fiber,27200,https://github.com/pmndrs/react-three-fiber
libgdx,libgdx,23200,https://github.com/libgdx/libgdx
BabylonJS,Babylon.js,23100,https://github.com/BabylonJS/Babylon.js
ssloy,tinyrenderer,20400,https://github.com/ssloy/tinyrenderer
FreeCAD,FreeCAD,19300,https://github.com/FreeCAD/FreeCAD
lettier,3d-game-shaders-for-beginners,17800,https://github.com/lettier/3d-game-shaders-for-beginners
aframevr,aframe,16600,https://github.com/aframevr/aframe
blender,blender,12900,https://github.com/blender/blender
CesiumGS,cesium,12800,https://github.com/CesiumGS/cesium
MonoGame,MonoGame,11400,https://github.com/MonoGame/MonoGame
isl-org,Open3D,11300,https://github.com/isl-org/Open3D
mapbox,mapbox-gl-js,11100,https://github.com/mapbox/mapbox-gl-js
4ian,GDevelop,10500,https://github.com/4ian/GDevelop
metafizzy,zdog,10400,https://github.com/metafizzy/zdog
timzhang642,3D-Machine-Learning,9700,https://github.com/timzhang642/3D-Machine-Learning
nerfstudio-project,nerfstudio,9300,https://github.com/nerfstudio-project/nerfstudio
FyroxEngine,Fyrox,7700,https://github.com/FyroxEngine/Fyrox
domlysz,BlenderGIS,7700,https://github.com/domlysz/BlenderGIS
a1studmuffin,SpaceshipGenerator,7700,https://github.com/a1studmuffin/SpaceshipGenerator
