USERNAME,REPO_NAME,STARS,REPO_LINK
public-apis,public-apis,314000,https://github.com/public-apis/public-apis
neovim,neovim,82200,https://github.com/neovim/neovim
fastapi,fastapi,76200,https://github.com/fastapi/fastapi
hoppscotch,hoppscotch,64200,https://github.com/hoppscotch/hoppscotch
strapi,strapi,63100,https://github.com/strapi/strapi
ocornut,imgui,59900,https://github.com/ocornut/imgui
QuivrHQ,quivr,36200,https://github.com/QuivrHQ/quivr
slatedocs,slate,36000,https://github.com/slatedocs/slate
trpc,trpc,34600,https://github.com/trpc/trpc
Kong,insomnia,34500,https://github.com/Kong/insomnia
httpie,cli,33500,https://github.com/httpie/cli
ccxt,ccxt,32600,https://github.com/ccxt/ccxt
hasura,graphql-engine,31100,https://github.com/hasura/graphql-engine
Binaryify,NeteaseCloudMusicApi,30300,https://github.com/Binaryify/NeteaseCloudMusicApi
encode,django-rest-framework,28200,https://github.com/encode/django-rest-framework
YMFE,yapi,27300,https://github.com/YMFE/yapi
directus,directus,27300,https://github.com/directus/directus
littlecodersh,ItChat,25500,https://github.com/littlecodersh/ItChat
mudler,LocalAI,23700,https://github.com/mudler/LocalAI
PostgREST,postgrest,23300,https://github.com/PostgREST/postgrest
