USERNAME,REPO_NAME,STARS,REPO_LINK
bregman-arie,devops-exercises,66100,https://github.com/bregman-arie/devops-exercises
ByteByteGoHq,system-design-101,63400,https://github.com/ByteByteGoHq/system-design-101
localstack,localstack,55700,https://github.com/localstack/localstack
serverless,serverless,46400,https://github.com/serverless/serverless
donnemartin,data-science-ipython-notebooks,27200,https://github.com/donnemartin/data-science-ipython-notebooks
sst,sst,21500,https://github.com/sst/sst
pulumi,pulumi,21500,https://github.com/pulumi/pulumi
danny-avila,LibreChat,17900,https://github.com/danny-avila/LibreChat
getsops,sops,16600,https://github.com/getsops/sops
kubernetes-sigs,kubespray,16000,https://github.com/kubernetes-sigs/kubespray
aws,aws-cli,15500,https://github.com/aws/aws-cli
ramitsurana,awesome-kubernetes,15000,https://github.com/ramitsurana/awesome-kubernetes
caprover,caprover,13100,https://github.com/caprover/caprover
GoogleCloudPlatform,terraformer,12500,https://github.com/GoogleCloudPlatform/terraformer
donnemartin,awesome-aws,12400,https://github.com/donnemartin/awesome-aws
milanm,DevOps-Roadmap,12000,https://github.com/milanm/DevOps-Roadmap
aws,aws-cdk,11600,https://github.com/aws/aws-cdk
phidatahq,phidata,11200,https://github.com/phidatahq/phidata
infracost,infracost,10900,https://github.com/infracost/infracost
apereo,cas,10900,https://github.com/apereo/cas
