USERNAME,REPO_NAME,STARS,REPO_LINK
flutter,flutter,165000,https://github.com/flutter/flutter
facebook,react-native,118000,https://github.com/facebook/react-native
justjavac,free-programming-books-zh_CN,111000,https://github.com/justjavac/free-programming-books-zh_CN
Genymobile,scrcpy,110000,https://github.com/Genymobile/scrcpy
Hack-with-Github,Awesome-Hacking,83400,https://github.com/Hack-with-Github/Awesome-Hacking
Solido,awesome-flutter,53200,https://github.com/Solido/awesome-flutter
tldr-pages,tldr,50600,https://github.com/tldr-pages/tldr
google,material-design-icons,50500,https://github.com/google/material-design-icons
wasabeef,awesome-android-ui,50400,https://github.com/wasabeef/awesome-android-ui
square,okhttp,45800,https://github.com/square/okhttp
laurent22,joplin,45300,https://github.com/laurent22/joplin
android,architecture-samples,44400,https://github.com/android/architecture-samples
appwrite,appwrite,44000,https://github.com/appwrite/appwrite
square,retrofit,43000,https://github.com/square/retrofit
skylot,jadx,41100,https://github.com/skylot/jadx
dcloudio,uni-app,40000,https://github.com/dcloudio/uni-app
fastlane,fastlane,39500,https://github.com/fastlane/fastlane
PhilJay,MPAndroidChart,37600,https://github.com/PhilJay/MPAndroidChart
termux,termux-app,35200,https://github.com/termux/termux-app
shadowsocks,shadowsocks-android,35100,https://github.com/shadowsocks/shadowsocks-android
