USERNAME,REPO_NAME,STARS,REPO_LINK
bregman-arie,devops-exercises,66100,https://github.com/bregman-arie/devops-exercises
microsoft,generative-ai-for-beginners,62300,https://github.com/microsoft/generative-ai-for-beginners
pulumi,pulumi,21500,https://github.com/pulumi/pulumi
recommenders-team,recommenders,18900,https://github.com/recommenders-team/recommenders
danny-avila,LibreChat,17900,https://github.com/danny-avila/LibreChat
getsops,sops,16600,https://github.com/getsops/sops
ramitsurana,awesome-kubernetes,15000,https://github.com/ramitsurana/awesome-kubernetes
Azure,azure-quickstart-templates,14000,https://github.com/Azure/azure-quickstart-templates
caprover,caprover,13100,https://github.com/caprover/caprover
milanm,DevOps-Roadmap,12000,https://github.com/milanm/DevOps-Roadmap
infracost,infracost,10900,https://github.com/infracost/infracost
prowler-cloud,prowler,10700,https://github.com/prowler-cloud/prowler
budtmo,docker-android,9600,https://github.com/budtmo/docker-android
google,go-cloud,9500,https://github.com/google/go-cloud
microsoft,computervision-recipes,9500,https://github.com/microsoft/computervision-recipes
Netflix,metaflow,8100,https://github.com/Netflix/metaflow
microsoft,azuredatastudio,7600,https://github.com/microsoft/azuredatastudio
midwayjs,midway,7400,https://github.com/midwayjs/midway
thangchung,clean-code-dotnet,7100,https://github.com/thangchung/clean-code-dotnet
node-formidable,formidable,7000,https://github.com/node-formidable/formidable
