USERNAME,REPO_NAME,STARS,REPO_LINK
Genymobile,scrcpy,110000,https://github.com/Genymobile/scrcpy
neovim,neovim,82200,https://github.com/neovim/neovim
obsproject,obs-studio,59200,https://github.com/obsproject/obs-studio
fffaraz,awesome-cpp,59100,https://github.com/fffaraz/awesome-cpp
git,git,52000,https://github.com/git/git
FFmpeg,FFmpeg,45200,https://github.com/FFmpeg/FFmpeg
serhii-londar,open-source-mac-os-apps,41300,https://github.com/serhii-londar/open-source-mac-os-apps
vim,vim,36200,https://github.com/vim/vim
curl,curl,35600,https://github.com/curl/curl
huihut,interview,34600,https://github.com/huihut/interview
mpv-player,mpv,28000,https://github.com/mpv-player/mpv
ggreer,the_silver_searcher,26100,https://github.com/ggreer/the_silver_searcher
ossrs,srs,25500,https://github.com/ossrs/srs
kovidgoyal,kitty,24000,https://github.com/kovidgoyal/kitty
google,flatbuffers,23200,https://github.com/google/flatbuffers
microsoft,vcpkg,22900,https://github.com/microsoft/vcpkg
ruby,ruby,22000,https://github.com/ruby/ruby
raysan5,raylib,21900,https://github.com/raysan5/raylib
hashcat,hashcat,21000,https://github.com/hashcat/hashcat
forthespada,CS-Books,20600,https://github.com/forthespada/CS-Books
