USERNAME,REPO_NAME,STARS,REPO_LINK
jaywcjlove,linux-command,31600,https://github.com/jaywcjlove/linux-command
refined-github,refined-github,24400,https://github.com/refined-github/refined-github
openai-translator,openai-translator,23700,https://github.com/openai-translator/openai-translator
darkreader,darkreader,19500,https://github.com/darkreader/darkreader
dailydotdev,daily,18100,https://github.com/dailydotdev/daily
gildas-lormeau,SingleFile,15200,https://github.com/gildas-lormeau/SingleFile
checkly,headless-recorder,15000,https://github.com/checkly/headless-recorder
immersive-translate,immersive-translate,14100,https://github.com/immersive-translate/immersive-translate
unbug,codelf,14100,https://github.com/unbug/codelf
wong2,chatgpt-google-extension,13300,https://github.com/wong2/chatgpt-google-extension
Anarios,return-youtube-dislike,12500,https://github.com/Anarios/return-youtube-dislike
crimx,ext-saladict,12000,https://github.com/crimx/ext-saladict
alyssaxuu,screenity,11900,https://github.com/alyssaxuu/screenity
listen1,listen1_chrome_extension,11400,https://github.com/listen1/listen1_chrome_extension
AutomaApp,automa,11400,https://github.com/AutomaApp/automa
PlasmoHQ,plasmo,10300,https://github.com/PlasmoHQ/plasmo
ajayyy,SponsorBlock,10000,https://github.com/ajayyy/SponsorBlock
chathub-dev,chathub,10000,https://github.com/chathub-dev/chathub
josStorer,chatGPTBox,9900,https://github.com/josStorer/chatGPTBox
xifangczy,cat-catch,9200,https://github.com/xifangczy/cat-catch
