USERNAME,REPO_NAME,STARS,REPO_LINK
ohmyzsh,ohmyzsh,173000,https://github.com/ohmyzsh/ohmyzsh
junegunn,fzf,64300,https://github.com/junegunn/fzf
sherlock-project,sherlock,59200,https://github.com/sherlock-project/sherlock
jesseduffield,lazygit,51400,https://github.com/jesseduffield/lazygit
sharkdp,bat,49000,https://github.com/sharkdp/bat
BurntSushi,ripgrep,48000,https://github.com/BurntSushi/ripgrep
n8n-io,n8n,46500,https://github.com/n8n-io/n8n
wagoodman,dive,45700,https://github.com/wagoodman/dive
google,zx,42900,https://github.com/google/zx
chubin,cheat.sh,38200,https://github.com/chubin/cheat.sh
spf13,cobra,37800,https://github.com/spf13/cobra
cli,cli,36900,https://github.com/cli/cli
sharkdp,fd,33600,https://github.com/sharkdp/fd
httpie,cli,33500,https://github.com/httpie/cli
alebcay,awesome-shell,32800,https://github.com/alebcay/awesome-shell
All-Hands-AI,OpenHands,32600,https://github.com/All-Hands-AI/OpenHands
ibraheemdev,modern-unix,30700,https://github.com/ibraheemdev/modern-unix
tqdm,tqdm,28400,https://github.com/tqdm/tqdm
acheong08,ChatGPT,28000,https://github.com/acheong08/ChatGPT
charmbracelet,bubbletea,27200,https://github.com/charmbracelet/bubbletea
